Chat Link,Messages Sent,Skipped,Skip Reason,Average Interval (s)
https://t.me/chatwb_mp,7,False,,227.38199999999998
https://t.me/tiwbozon,10,False,,251.25144444444445
https://t.me/sellerwbch,10,False,,193.56022222222222
https://t.me/wb_ozon_helpchat,1,False,,
https://t.me/wb_ru_help,7,False,,197.46550000000002
https://t.me/ozon_pro,2,False,,117.907
https://t.me/wbchat_wb,1,False,,
https://t.me/chat_ozon,8,False,,259.3907142857143
https://t.me/WBHELPER22,1,False,,
https://t.me/chatwbplace,8,False,,262.9718571428571
